Provider,PotentialFraud,IP_TotalClaims,IP_TotalReimbursed,IP_AvgReimbursed,IP_MaxReimbursed,IP_AvgLOS,IP_MaxLOS,IP_AvgDiagnosisCount,IP_AvgProcedureCount,IP_AvgDeductible,IP_UniquePatients,IP_UniqueAttendingPhysicians,IP_UniqueOperatingPhysicians,IP_AvgPatientAge,IP_AvgChronicConds,IP_DeadPatientCount,IP_AvgClaimDuration,IP_TotalDeductible,OP_TotalClaims,OP_TotalReimbursed,OP_AvgReimbursed,OP_MaxReimbursed,OP_AvgDiagnosisCount,OP_AvgProcedureCount,OP_AvgDeductible,OP_UniquePatients,OP_UniqueAttendingPhysicians,OP_UniqueOperatingPhysicians,OP_AvgPatientAge,OP_AvgChronicConds,OP_DeadPatientCount,OP_AvgClaimDuration,OP_TotalDeductible,IP_ReimbursedPerPatient,OP_ReimbursedPerPatient,IP_ClaimsPerPatient,OP_ClaimsPerPatient,TotalClaims,TotalReimbursed,TotalUniquePatients
PRV51001,0,5.0,97000.0,19400.0,42000.0,5.0,14.0,7.2,0.6,1068.0,5.0,4.0,2.0,78.2,6.0,0.0,5.0,5340.0,20.0,7640.0,382.0,1500.0,2.2,0.0,0.0,19.0,10.0,3.0,78.3,5.45,0.0,0.55,0.0,16166.666666666666,382.0,0.8333333333333334,1.0,25.0,104640.0,24.0
PRV51003,1,62.0,573000.0,9241.935483870968,57000.0,5.161290322580645,27.0,8.112903225806452,0.7741935483870968,1068.0,53.0,2.0,2.0,70.38709677419355,4.919354838709677,1.0,5.161290322580645,66216.0,70.0,32670.0,466.7142857142857,3300.0,2.7142857142857144,0.0,1.0,66.0,44.0,5.0,68.81428571428572,4.214285714285714,0.0,2.357142857142857,70.0,10611.111111111111,487.6119402985075,1.1481481481481481,1.044776119402985,132.0,605670.0,119.0
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,3300.0,2.5838926174496644,0.0,2.0805369127516777,138.0,38.0,19.0,71.80536912751678,4.342281879194631,1.0,1.429530201342282,310.0,0.0,375.32374100719426,0.0,1.0719424460431655,149.0,52170.0,138.0
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,4080.0,2.5888412017167384,0.0,3.1759656652360513,495.0,6.0,6.0,70.0,4.335622317596567,4.0,1.088412017167382,3700.0,0.0,566.3508064516129,0.0,2.348790322580645,1165.0,280910.0,495.0
PRV51007,0,3.0,19000.0,6333.333333333333,10000.0,5.333333333333333,7.0,7.333333333333333,0.3333333333333333,1068.0,3.0,2.0,1.0,78.33333333333333,5.666666666666667,0.0,5.333333333333333,3204.0,69.0,14710.0,213.18840579710144,3300.0,2.7971014492753623,0.0,0.8695652173913043,56.0,8.0,4.0,68.3768115942029,4.101449275362318,1.0,0.7681159420289855,60.0,4750.0,258.0701754385965,0.75,1.2105263157894737,72.0,33710.0,59.0
PRV51008,0,2.0,25000.0,12500.0,21000.0,4.0,5.0,7.5,1.0,1068.0,2.0,2.0,2.0,51.0,3.5,0.0,4.0,2136.0,41.0,10630.0,259.2682926829268,1900.0,2.951219512195122,0.0,4.390243902439025,34.0,8.0,3.0,76.21951219512195,3.926829268292683,0.0,1.4146341463414633,180.0,8333.333333333334,303.7142857142857,0.6666666666666666,1.1714285714285715,43.0,35630.0,36.0
PRV51011,0,1.0,5000.0,5000.0,5000.0,5.0,5.0,8.0,0.0,1068.0,1.0,1.0,0.0,97.0,7.0,0.0,5.0,1068.0,57.0,11630.0,204.03508771929825,1600.0,2.43859649122807,0.0,5.2631578947368425,52.0,27.0,10.0,73.43859649122807,4.543859649122807,1.0,0.47368421052631576,300.0,2500.0,219.43396226415095,0.5,1.0754716981132075,58.0,16630.0,53.0
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,3300.0,2.5625,0.0,2.0833333333333335,31.0,14.0,3.0,74.02083333333333,4.625,0.0,3.7083333333333335,100.0,0.0,527.8125,0.0,1.5,48.0,16890.0,31.0
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,1800.0,2.5434782608695654,0.0,5.0,44.0,9.0,5.0,74.0,4.413043478260869,0.0,1.4565217391304348,230.0,0.0,330.6666666666667,0.0,1.0222222222222221,46.0,14880.0,44.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,3300.0,3.6666666666666665,0.0,4.0,25.0,7.0,6.0,70.63333333333334,4.333333333333333,1.0,0.4666666666666667,120.0,0.0,403.0769230769231,0.0,1.1538461538461537,30.0,10480.0,25.0
